cz,Name,AllAmericanIndian,AllAll,AllAsian,AllWhite,AllHispanic,AllBlack,HighAmericanIndian,HighAll,HighAsian,HighWhite,HighHispanic,HighBlack,LowAmericanIndian,LowAll,LowAsian,LowWhite,LowHispanic,LowBlack,MediumAmericanIndian,MediumAll,MediumAsian,MediumWhite,MediumHispanic,MediumBlack
cz28401,"Colorado Springs, CO",24943.0,29420,33617.0,30925,26519.0,24485.0,28556.0,32296,34823.0,32898,31041.0,30443.0,21205.0,22905,31621.0,24135,22241.0,21050.0,24831.0,27540,32992.0,28317,26620.0,25937.0
cz25500,"Centralia, IL",24850.0,31362,42276.0,32217,27642.0,20433.0,32717.0,36477,40767.0,36835,35650.0,28496.0,15451.0,23308,32146.0,24305,21526.0,18688.0,23929.0,29769,35774.0,30243,28527.0,23789.0
cz30100,"Fort Smith, AR & OK",24801.0,25567,32035.0,26726,23353.0,20784.0,33910.0,32800,39370.0,33067,30835.0,29943.0,21696.0,20969,28174.0,21577,22302.0,19269.0,27708.0,26817,32907.0,27071,26548.0,24824.0
cz38300,"Los Angeles, AZ & CA",24774.0,30002,38913.0,33668,28708.0,23594.0,28799.0,34106,41305.0,34761,33289.0,29167.0,20689.0,25824,36565.0,27008,26864.0,20538.0,24691.0,29896,38571.0,30691,30045.0,25027.0
cz7400,"Orlando, FL",24771.0,27352,35362.0,30137,26986.0,21071.0,28548.0,32261,38263.0,32873,32568.0,28708.0,21639.0,22366,32640.0,23470,25138.0,19413.0,25046.0,27254,35026.0,27960,28825.0,24250.0
cz34801,"Las Vegas, NM",24767.0,25463,,28432,25326.0,23444.0,55321.0,33853,,34112,33666.0,29404.0,21680.0,22975,,24460,23432.0,20572.0,36535.0,28339,,29059,28511.0,25167.0
cz34109,"Juneau, AK",24756.0,33490,35956.0,35661,34548.0,29180.0,30699.0,34751,35579.0,36043,37680.0,26802.0,17220.0,25447,36289.0,27799,26191.0,41513.0,23867.0,30018,35984.0,31703,31833.0,33728.0
cz29902,"Center, MO",24724.0,25880,35792.0,26367,23717.0,23466.0,33990.0,33464,49540.0,33758,33561.0,50734.0,20581.0,21713,30799.0,22218,21648.0,16219.0,27186.0,27515,38258.0,27730,27569.0,33068.0
cz3800,"Lafayette, LA",24702.0,29334,32565.0,32515,27706.0,22937.0,34476.0,35816,37847.0,36447,32188.0,33507.0,19792.0,24298,30492.0,26543,24732.0,22405.0,27026.0,29950,33613.0,31232,28433.0,28167.0
cz2400,"Richmond, VA",24684.0,30316,37961.0,34434,28910.0,24142.0,27714.0,34244,40823.0,35323,32903.0,31594.0,19657.0,21943,33603.0,24646,24998.0,20579.0,23632.0,28011,36649.0,29722,28919.0,26308.0
cz10502,"Starkville, MS",24650.0,24324,40917.0,30673,26492.0,19399.0,40886.0,32994,45247.0,34629,28410.0,27496.0,23601.0,20340,32920.0,24502,25168.0,18860.0,31952.0,26596,37990.0,29324,26777.0,23350.0
cz30501,"Woodward, OK",24643.0,31120,,31824,29455.0,,28232.0,37340,,38031,37492.0,,22135.0,26227,,26633,27247.0,,25142.0,31653,,32008,32277.0,
cz12401,"Alpena, MI",24635.0,28415,32653.0,28792,25342.0,21127.0,38826.0,34426,33933.0,34706,30758.0,17939.0,15611.0,21837,29655.0,22271,20118.0,22423.0,26945.0,28047,31489.0,28204,25419.0,20095.0
cz8202,"Charleston, SC",24596.0,27012,34638.0,29967,27170.0,23502.0,28798.0,32339,36664.0,32847,31517.0,31086.0,22572.0,21981,31804.0,22871,24109.0,22051.0,25641.0,27099,33873.0,27637,27788.0,26747.0
cz11900,"Saginaw, MI",24595.0,29392,35895.0,30871,25129.0,20645.0,28690.0,33047,35046.0,33930,29137.0,25859.0,19783.0,21465,27348.0,22647,20797.0,17845.0,24179.0,27186,30642.0,28034,24951.0,22000.0
cz34107,"Dillingham, AK",24550.0,27915,,37920,,,29547.0,36017,,42001,,,24093.0,25480,,33990,,,26777.0,30643,,37725,,
cz1701,"Raleigh, NC",24529.0,29842,38948.0,33335,26736.0,23070.0,29734.0,33131,40672.0,33973,31467.0,30953.0,19458.0,21029,33621.0,23413,23319.0,19718.0,24531.0,27009,36598.0,28451,27368.0,25565.0
cz26001,"Roseau, MN",24527.0,33589,36011.0,34032,,,67960.0,37867,44821.0,38391,,,12486.0,28473,23571.0,28820,,,34819.0,33046,32392.0,33321,,
cz11403,"Sault Ste. Marie, MI",24477.0,27400,27147.0,29057,25024.0,19219.0,31690.0,33184,29784.0,33884,32607.0,26908.0,20666.0,21439,9254.0,22989,19694.0,14796.0,26105.0,27241,17858.0,28190,26125.0,21014.0
cz29901,"Joplin, KS & MO & OK",24461.0,26727,35379.0,27341,25858.0,21740.0,34006.0,32924,38001.0,33155,34187.0,27005.0,19811.0,21756,30503.0,22275,23625.0,20057.0,26807.0,27272,33684.0,27474,28863.0,23670.0
cz9100,"Atlanta, GA",24434.0,28744,35247.0,33259,27796.0,22982.0,27472.0,32527,39456.0,33743,32595.0,29294.0,19435.0,21125,31666.0,23269,24446.0,20080.0,23399.0,26761,34957.0,28268,28491.0,24874.0
cz28102,"Nebraska City, NE",24386.0,33299,35075.0,33935,23374.0,,31241.0,37493,44225.0,37992,29722.0,,19888.0,28416,28326.0,29140,19718.0,,25492.0,32839,34901.0,33308,24703.0,
cz3700,"Lake Charles, LA",24372.0,28420,36241.0,30499,26923.0,24041.0,32700.0,33987,39514.0,34496,33307.0,32374.0,19230.0,23013,30915.0,24354,22091.0,22155.0,25876.0,28424,34545.0,29185,27665.0,27462.0
cz37100,"Bakersfield, CA",24365.0,28159,35931.0,30900,28031.0,22463.0,29501.0,33482,39385.0,33850,33365.0,29728.0,20351.0,24151,33169.0,24091,26874.0,20231.0,24867.0,28749,35802.0,28744,30088.0,25173.0
cz20600,"Manchester, ME & NH",24355.0,33845,38229.0,34492,29547.0,28735.0,29880.0,35806,39564.0,36234,32796.0,32446.0,16124.0,24935,33050.0,25651,24137.0,23770.0,22885.0,30266,35807.0,30667,28435.0,28271.0
cz29602,"Eldon, MO",24342.0,26047,26574.0,26494,26059.0,22973.0,40301.0,33285,31966.0,33602,24795.0,29800.0,17236.0,21268,24038.0,21705,25633.0,19600.0,28476.0,27204,27452.0,27391,25218.0,24908.0
cz15400,"Zanesville, OH",24291.0,27509,35481.0,28212,24799.0,20110.0,39782.0,35940,37370.0,36283,35232.0,30937.0,14835.0,20855,22363.0,21532,20683.0,18229.0,26968.0,28283,28788.0,28556,27905.0,24842.0
cz33801,"Elk City, OK",24253.0,29507,42712.0,30878,26201.0,22012.0,36956.0,36654,43588.0,36924,30610.0,33089.0,21153.0,25352,30334.0,26594,25783.0,20778.0,28897.0,30882,35833.0,31479,28180.0,27175.0
cz11001,"Mobile, AL",24241.0,26385,32194.0,29912,28199.0,21298.0,25377.0,33039,37599.0,33682,33414.0,30277.0,23554.0,21179,30730.0,22636,24271.0,20465.0,24452.0,27040,33647.0,27911,28807.0,25571.0
cz33902,"Sherman, OK & TX",24221.0,27141,31877.0,28816,24871.0,20772.0,33255.0,33640,35300.0,34244,31548.0,29643.0,20436.0,21617,25064.0,22886,22665.0,18587.0,26756.0,27553,29452.0,28306,27082.0,24340.0
cz38801,"Portland, OR & WA",24202.0,30486,35844.0,31655,26959.0,23669.0,29724.0,33050,38415.0,33471,30873.0,29880.0,18218.0,23501,32975.0,24329,24151.0,20560.0,23896.0,28211,35283.0,28689,27489.0,25410.0
cz24200,"Bourbonnais, IL",24195.0,30718,45280.0,32902,27403.0,21675.0,25726.0,35287,41061.0,35765,34537.0,29635.0,15215.0,23209,29671.0,25579,23527.0,19777.0,20329.0,29151,34451.0,30412,28985.0,24907.0
cz37000,"Modesto, CA",24178.0,27334,34478.0,29810,26032.0,22209.0,30630.0,32179,38113.0,32935,31059.0,26640.0,17303.0,22983,33349.0,23825,24113.0,20123.0,23876.0,27523,35374.0,28174,27563.0,23511.0
cz33602,"Altus, OK",24174.0,26732,32009.0,29308,25126.0,20792.0,45481.0,34885,36778.0,34769,39225.0,28684.0,17979.0,22767,25376.0,24976,24210.0,20279.0,31102.0,28735,30244.0,29635,31566.0,24651.0
cz2200,"South Boston, VA",24147.0,26257,34830.0,30156,22392.0,22655.0,17127.0,34856,37966.0,35983,29954.0,32865.0,26040.0,20904,26447.0,22922,18924.0,20471.0,21659.0,27786,31345.0,29135,24421.0,26914.0
cz2700,"Gulfport, MS",24132.0,25628,31053.0,27474,27073.0,21048.0,28956.0,32284,37767.0,32679,30737.0,30371.0,21476.0,20864,28848.0,21866,24870.0,19692.0,25165.0,26511,32635.0,27037,27783.0,25250.0
cz19200,"Harrisburg, PA",24102.0,32439,38508.0,33839,25466.0,22284.0,26905.0,36011,40980.0,36551,32753.0,30150.0,20221.0,23422,34026.0,24822,21876.0,18906.0,23517.0,29604,36959.0,30381,27285.0,24758.0
cz27903,"Grand Island, NE",24056.0,32905,30677.0,34106,26741.0,28466.0,40786.0,37531,34235.0,37904,29898.0,37043.0,21858.0,26954,27357.0,28352,25793.0,22427.0,31027.0,32113,30305.0,32851,27831.0,29965.0
cz10700,"Birmingham, AL",24047.0,27184,37944.0,30374,24843.0,22547.0,29343.0,32124,39337.0,32753,30399.0,31344.0,19334.0,20282,33991.0,21354,20793.0,20455.0,24275.0,26140,36260.0,26808,25578.0,26120.0
cz30502,"Enid, OK",24038.0,29548,38218.0,30738,25893.0,23299.0,34576.0,37264,41671.0,37684,37142.0,33173.0,20443.0,24142,31778.0,25142,22914.0,22076.0,27401.0,30561,35924.0,31068,29934.0,27837.0
cz29503,"St. Joseph, KS & MO",24034.0,28959,45253.0,29464,28987.0,23244.0,26437.0,34583,48795.0,34823,36071.0,34951.0,23428.0,22115,35332.0,22606,22702.0,20499.0,24909.0,28262,40732.0,28432,29316.0,27995.0
cz33803,"Oklahoma City, OK",24027.0,28497,38399.0,30648,25740.0,23159.0,31362.0,33972,42402.0,34573,32257.0,30646.0,19513.0,22563,33869.0,23999,23509.0,21281.0,25362.0,28190,37443.0,29036,27854.0,26152.0
cz37902,"Reno, NV",24024.0,25351,,28250,17991.0,,39525.0,30436,,27523,23644.0,,17025.0,21730,,29076,13307.0,,28010.0,26036,,28336,18297.0,
cz39201,"La Grande, OR",24021.0,28985,32202.0,29571,25417.0,,35059.0,33316,33296.0,33869,24570.0,,20696.0,23972,28756.0,24391,25733.0,,27761.0,28578,30702.0,28909,25157.0,
cz34113,"Barrow, AK",23987.0,24961,,32927,,,27558.0,27341,,34064,,,14752.0,17398,,29225,,,20985.0,22304,,31525,,
cz31600,"Brownsville, TX",23946.0,27818,38998.0,31372,28904.0,27430.0,33793.0,35187,40522.0,34344,35167.0,31026.0,22763.0,27210,35742.0,26522,28735.0,25986.0,28189.0,31122,37769.0,30242,31909.0,28600.0
cz29502,"Kansas City, KS & MO",23912.0,31242,36282.0,33444,28916.0,24113.0,28752.0,34360,38951.0,35020,33012.0,31310.0,18432.0,23121,31663.0,24538,24669.0,21706.0,23522.0,28660,34746.0,29525,28808.0,26698.0
cz37901,"Las Vegas, AZ & NV",23886.0,26978,34414.0,28924,26578.0,21668.0,28709.0,30892,37470.0,31244,31085.0,27271.0,19784.0,22372,31014.0,23621,24396.0,19488.0,24190.0,26584,33757.0,27264,27718.0,23535.0
cz30701,"Roswell, NM",23882.0,28630,37617.0,31998,26797.0,28331.0,30108.0,35278,39844.0,35966,34517.0,30310.0,21474.0,24811,30385.0,26986,25142.0,27875.0,25734.0,29951,34374.0,31241,29782.0,29138.0
cz23100,"Madison, WI",23855.0,34484,36382.0,35578,28499.0,22049.0,26582.0,36344,38948.0,36864,32190.0,30654.0,19020.0,25123,32542.0,26338,23434.0,19774.0,22746.0,30619,35254.0,31318,27783.0,25436.0
cz38200,"Santa Barbara, CA",23825.0,30440,37877.0,32863,29011.0,24824.0,25000.0,33678,39969.0,34230,33372.0,29091.0,22429.0,24997,34436.0,26761,26758.0,21155.0,23695.0,29271,36782.0,30313,30033.0,25283.0
cz12200,"Grand Rapids, MI",23775.0,29734,32659.0,31220,24892.0,20354.0,28538.0,32866,33853.0,33461,29046.0,27440.0,18853.0,21118,29823.0,22147,22070.0,18200.0,23631.0,26925,31551.0,27553,25542.0,23002.0
cz30401,"Stillwater, OK",23774.0,29135,42437.0,30268,25919.0,24850.0,32194.0,34357,41257.0,34893,32211.0,35778.0,20536.0,23314,44646.0,24153,22569.0,21960.0,26287.0,28755,43163.0,29266,27362.0,29109.0
cz30200,"Muskogee, OK",23727.0,24513,38790.0,26527,23598.0,19932.0,31955.0,33265,41477.0,34004,33911.0,30107.0,20414.0,20402,29209.0,21480,22252.0,19086.0,26108.0,26760,34348.0,27464,28042.0,24823.0
cz25701,"Cape Girardeau, MO",23721.0,27347,33262.0,28815,26482.0,17700.0,34788.0,33969,33962.0,34355,29279.0,26918.0,18602.0,20847,28304.0,21807,25034.0,17929.0,26576.0,27327,30729.0,27799,27141.0,22596.0
cz19800,"Wilmington, DE & MD",23716.0,31958,43554.0,34838,27931.0,24773.0,23780.0,34857,44020.0,35731,32485.0,31293.0,23816.0,21943,37448.0,23619,24044.0,20725.0,23798.0,28309,40190.0,29379,28234.0,26222.0
cz18300,"Watertown, NY",23669.0,29696,33625.0,30213,26082.0,23498.0,32751.0,35977,35664.0,36438,32559.0,27327.0,16820.0,22714,29667.0,23113,22190.0,21304.0,24670.0,29233,32228.0,29444,27345.0,24436.0
cz36902,"Roseburg, OR",23631.0,26624,32148.0,27456,24809.0,25156.0,28452.0,31869,32083.0,32467,29943.0,29340.0,21144.0,21829,32345.0,22550,22049.0,22659.0,24749.0,26792,32232.0,27290,25979.0,26130.0
cz3400,"Houma, LA",23617.0,29759,32935.0,33159,26923.0,20951.0,30849.0,37121,39994.0,38000,33726.0,29434.0,21966.0,23737,30858.0,26370,23093.0,20423.0,26347.0,30290,34709.0,31856,28372.0,25111.0
cz19300,"Poughkeepsie, NY",23597.0,33974,43263.0,35713,30562.0,25573.0,27479.0,36363,42954.0,37236,33925.0,30351.0,18790.0,24688,36110.0,26253,25443.0,21325.0,23074.0,30408,38977.0,31444,29644.0,26020.0
cz29301,"Wichita, KS",23575.0,29421,36640.0,31160,26834.0,21208.0,27478.0,32874,39067.0,33535,32159.0,26840.0,18758.0,22114,33897.0,23298,22517.0,19028.0,23057.0,27428,36093.0,28184,27311.0,23088.0
cz19000,"Allentown, PA",23523.0,34278,41194.0,35954,25454.0,24462.0,25918.0,37299,42559.0,37871,33472.0,30054.0,19400.0,25365,33897.0,26986,22880.0,21064.0,22610.0,31196,37523.0,32120,28140.0,25741.0
cz33200,"Paris, TX",23517.0,26273,31823.0,28364,25067.0,20788.0,32783.0,33165,34584.0,33804,32497.0,28840.0,18942.0,21761,25990.0,23251,23365.0,20173.0,25772.0,27393,29675.0,28287,27901.0,24682.0
cz32801,"Waco, TX",23505.0,26731,37874.0,31573,23892.0,19660.0,30059.0,35075,42744.0,35958,33341.0,30711.0,17484.0,21259,31299.0,24587,22153.0,19053.0,23686.0,28070,36070.0,29985,27713.0,25121.0
cz19700,"Philadelphia, NJ & PA",23495.0,33227,40015.0,37105,26281.0,23594.0,27387.0,36564,42892.0,37855,33113.0,31038.0,19440.0,24022,36153.0,27273,22969.0,20935.0,23360.0,30168,38978.0,32263,28007.0,26191.0
cz3300,"New Orleans, LA",23482.0,28489,36481.0,33464,30047.0,22832.0,29882.0,35220,41213.0,36205,35064.0,32711.0,19742.0,22968,33608.0,25321,27295.0,21809.0,24748.0,28998,36811.0,30482,31131.0,27471.0
cz32900,"Killeen, TX",23450.0,27007,33814.0,29758,25976.0,22939.0,34273.0,33375,38512.0,34227,31876.0,30072.0,16274.0,21736,30307.0,23056,23329.0,20435.0,25130.0,27483,33782.0,28386,27576.0,25450.0
cz17900,"Union, NY & PA",23422.0,31436,38765.0,31945,29120.0,22674.0,35852.0,35768,40274.0,35998,33862.0,29903.0,15023.0,23235,31088.0,23826,23960.0,19447.0,25220.0,29394,34957.0,29609,28871.0,24889.0
cz3600,"Alexandria, LA",23419.0,26617,33173.0,30198,26564.0,21067.0,30627.0,34167,36500.0,34785,32375.0,32023.0,19724.0,22271,25445.0,24785,22898.0,20701.0,25107.0,28139,30167.0,29544,27607.0,26588.0
cz1500,"Wilmington, NC",23412.0,25345,35406.0,27953,24228.0,20206.0,32120.0,30688,37656.0,31388,28139.0,28278.0,18304.0,19472,28106.0,20941,21711.0,18726.0,25122.0,25024,32165.0,25944,24911.0,23694.0
cz28502,"Pueblo, CO",23386.0,27159,34618.0,30298,24555.0,25449.0,32480.0,33835,38734.0,35233,31419.0,33821.0,18397.0,22030,27951.0,23642,21798.0,22205.0,25346.0,27856,32520.0,29160,26586.0,28232.0
cz34601,"Gillette, WY",23385.0,35891,,36683,30154.0,,27607.0,37950,,38602,31944.0,,21177.0,30444,,31301,27631.0,,24349.0,34096,,34733,29769.0,
cz15200,"Cleveland, OH",23385.0,31105,42402.0,33764,26853.0,20977.0,30475.0,35382,43544.0,36280,32519.0,28114.0,17895.0,22300,35338.0,24612,23128.0,18743.0,24103.0,28741,38761.0,30147,27793.0,23616.0
cz23801,"Davenport, IA & IL",23373.0,32441,36380.0,33949,29045.0,21642.0,25649.0,35743,39302.0,36365,31930.0,27747.0,20990.0,23944,30116.0,24958,26664.0,19935.0,23285.0,29737,33996.0,30366,29276.0,23999.0
cz2000,"Virginia Beach, NC & VA",23309.0,28201,37287.0,31390,28435.0,23160.0,29095.0,33655,40200.0,34129,32852.0,31433.0,19219.0,21871,32266.0,23214,24478.0,21019.0,24094.0,27688,35612.0,28422,28634.0,26435.0
cz13300,"Findlay, OH",23266.0,30982,35122.0,31819,26015.0,21490.0,22971.0,35848,36764.0,36387,31643.0,27975.0,22907.0,23425,27688.0,24276,21874.0,18285.0,22938.0,29528,31556.0,30021,26735.0,23322.0
cz27202,"Worthington, IA & MN",23263.0,35148,31041.0,36035,28109.0,24644.0,,40386,37824.0,40641,33538.0,22302.0,25510.0,29717,28111.0,30811,27319.0,25034.0,26799.0,34870,32237.0,35403,30397.0,23622.0
cz11600,"Detroit, MI",23254.0,30329,40067.0,32912,27244.0,22988.0,26313.0,32731,40256.0,33721,30092.0,28051.0,17544.0,21487,32535.0,23062,21836.0,20090.0,21855.0,27043,35792.0,28150,25947.0,24232.0
cz24900,"Edwardsville, IL",23210.0,30387,39272.0,31470,26105.0,20343.0,23327.0,34372,40028.0,34972,29806.0,26623.0,22762.0,22093,36288.0,23044,20688.0,18435.0,23040.0,28149,37879.0,28729,25231.0,22687.0
cz22900,"La Crosse, MN & WI",23190.0,32759,29860.0,33394,28909.0,22926.0,29105.0,36324,34338.0,36743,35415.0,26894.0,18833.0,25699,27176.0,26324,23583.0,20813.0,23903.0,30901,30245.0,31254,29439.0,23975.0
cz27501,"Des Moines, IA",23186.0,34199,36139.0,35359,28357.0,23189.0,30596.0,36611,37927.0,37141,32073.0,31445.0,18282.0,25691,33298.0,26870,25191.0,20693.0,24361.0,31034,35266.0,31724,28607.0,26286.0
cz32202,"Nacogdoches, TX",23174.0,26413,35067.0,29632,27713.0,21047.0,51048.0,36007,42475.0,36633,37890.0,31758.0,18285.0,22499,28405.0,24172,26784.0,20995.0,33375.0,29140,34275.0,30081,32233.0,26591.0
cz6200,"Florence, AL & TN",23126.0,25880,31956.0,26794,23797.0,23317.0,30300.0,32141,36048.0,32639,28561.0,31365.0,18808.0,19990,28214.0,20303,22619.0,20981.0,24482.0,26001,31557.0,26209,25575.0,26381.0
cz800,"Gastonia, NC",23114.0,25139,32259.0,26698,23240.0,21044.0,32233.0,31256,35916.0,31741,29994.0,28679.0,16296.0,18132,27618.0,18394,20716.0,18930.0,24142.0,24627,31162.0,24789,25338.0,24002.0
cz24600,"Farmington, MO",23113.0,26743,33230.0,27259,22044.0,20995.0,13851.0,33708,31740.0,34191,31990.0,34027.0,26193.0,20474,35339.0,20933,17082.0,18066.0,20021.0,27013,33781.0,27270,24501.0,26361.0
cz9900,"Tallahassee, FL",23103.0,25977,38728.0,29642,28155.0,20046.0,26989.0,32259,40284.0,33198,32541.0,29104.0,20208.0,20104,36590.0,22571,23736.0,18332.0,23552.0,26117,38161.0,27648,28108.0,23935.0
cz5600,"Nashville, TN",23102.0,28131,33114.0,29989,26136.0,23074.0,27985.0,31932,36378.0,32496,30781.0,30117.0,17670.0,20886,29500.0,21888,22813.0,20193.0,22750.0,26349,32431.0,26962,26777.0,25358.0
cz11302,"Baltimore, MD",23098.0,32208,40487.0,36269,31453.0,25281.0,28683.0,35946,42368.0,37008,34306.0,32764.0,17710.0,23045,35722.0,25177,25625.0,22270.0,23118.0,29384,38515.0,30777,29921.0,27718.0
cz14500,"Lafayette, IL & IN",23086.0,29830,40447.0,30614,27274.0,22913.0,27358.0,33843,40509.0,34184,31905.0,30810.0,18359.0,21775,35982.0,22357,24559.0,19375.0,22794.0,27731,37903.0,28004,28206.0,25326.0
cz25103,"Harrison, AR",23073.0,25109,36833.0,25695,20290.0,28201.0,31548.0,31981,30320.0,32754,15391.0,18535.0,20725.0,21739,39907.0,22046,20612.0,28543.0,26065.0,26801,35700.0,27166,17981.0,23376.0
cz17400,"Hagerstown, MD & PA & WV",23070.0,29768,37406.0,30529,26930.0,22435.0,28535.0,34653,38981.0,35091,30513.0,30391.0,18989.0,21939,32629.0,22500,23629.0,19538.0,23699.0,28208,35319.0,28503,27051.0,25187.0
cz37700,"Santa Rosa, CA",23038.0,31467,37477.0,33334,29252.0,24690.0,26063.0,34343,39575.0,35105,33307.0,27042.0,21112.0,24459,33945.0,25811,26122.0,23157.0,23553.0,29323,36332.0,30226,29682.0,25175.0
cz10900,"Pensacola, FL",23005.0,25972,30678.0,27532,27133.0,20982.0,29183.0,31402,35560.0,31725,32237.0,29467.0,18089.0,20695,27090.0,21616,23280.0,19523.0,23561.0,25992,30711.0,26454,27730.0,24698.0
cz32501,"Abilene, TX",22968.0,28035,33886.0,30335,25211.0,23025.0,24611.0,34966,38712.0,35554,33986.0,31283.0,22394.0,23508,29450.0,24867,24011.0,21143.0,23485.0,29146,33370.0,29943,28957.0,26416.0
cz16300,"Pittsburgh, PA",22957.0,33418,41921.0,34806,29772.0,21986.0,28186.0,37223,41615.0,37770,33481.0,30210.0,19221.0,24863,34751.0,26419,23104.0,19660.0,23644.0,30906,37643.0,31776,28257.0,25151.0
cz23500,"Decatur, IL",22954.0,31044,40071.0,33079,26646.0,20435.0,29271.0,35432,41824.0,36120,30830.0,28160.0,18686.0,22742,34913.0,24375,23441.0,19022.0,23910.0,28987,37822.0,29950,27114.0,23776.0
cz18600,"Albany, NY",22926.0,34883,40885.0,36040,28944.0,24570.0,26039.0,37672,41777.0,38195,33762.0,33279.0,20196.0,25380,34970.0,26442,23592.0,21380.0,23075.0,31380,37836.0,31982,28638.0,27560.0
cz38700,"Longview, OR & WA",22911.0,28366,34574.0,29277,24371.0,25638.0,27430.0,32792,37659.0,33402,30123.0,32600.0,20257.0,21862,31104.0,22534,21431.0,20368.0,23796.0,27261,33887.0,27726,25760.0,26728.0
cz33300,"Tyler, TX",22894.0,27122,33084.0,29827,25694.0,22744.0,31804.0,33504,38892.0,34163,33111.0,30749.0,17870.0,22406,26995.0,24128,24611.0,21299.0,24745.0,27883,32038.0,28911,28828.0,26214.0
cz25401,"Paducah, IL & KY",22891.0,27912,28116.0,28990,18990.0,22048.0,32865.0,33153,30277.0,33533,21289.0,34443.0,16187.0,20462,25939.0,21148,17640.0,20050.0,24395.0,26736,27806.0,27071,19444.0,27523.0
cz18000,"Buffalo, NY",22880.0,33029,40198.0,34852,26171.0,22251.0,27590.0,35992,40801.0,36742,32142.0,29108.0,18632.0,23972,33086.0,25844,21943.0,19785.0,23049.0,29870,36337.0,31002,27016.0,24636.0
cz37400,"Sacramento, CA & NV",22860.0,30183,36290.0,32319,28011.0,22810.0,27303.0,33626,39951.0,34144,32539.0,28182.0,18961.0,24387,33910.0,25346,24562.0,19769.0,23074.0,28938,36469.0,29535,28521.0,24146.0
cz38901,"Eugene, OR",22853.0,28596,33116.0,29844,25472.0,25628.0,29902.0,32396,34213.0,32963,30194.0,30701.0,17595.0,22179,31564.0,23345,23295.0,21073.0,23664.0,27226,32700.0,27938,26726.0,26082.0
cz19901,"Dover, DE & MD",22799.0,28812,35996.0,31274,27990.0,23142.0,20328.0,34684,40954.0,35198,35555.0,32299.0,24158.0,22394,31161.0,23653,24050.0,21444.0,22278.0,28452,35275.0,29149,29738.0,27084.0
cz11700,"Lansing, MI",22702.0,31270,37305.0,32754,26720.0,24083.0,27314.0,33832,40122.0,34468,31598.0,29394.0,16716.0,21955,31718.0,22729,20575.0,20166.0,21922.0,27817,35260.0,28330,26065.0,24967.0
cz26902,"Little Falls, MN",22702.0,33193,29783.0,33637,25495.0,21243.0,30862.0,38719,28214.0,39076,26626.0,10717.0,18620.0,28506,30234.0,29053,24845.0,26068.0,24664.0,33465,29367.0,33756,25729.0,17925.0
cz11101,"Montgomery, AL",22687.0,25451,34426.0,29980,26983.0,21283.0,24632.0,32365,37937.0,32832,30129.0,31851.0,20675.0,19999,28775.0,21656,24186.0,20000.0,22622.0,26116,32664.0,27001,27139.0,26165.0
cz26501,"Brookings, SD",22669.0,35184,38542.0,35874,26242.0,29688.0,28339.0,37944,39609.0,38266,23806.0,36102.0,20049.0,30116,,31294,28316.0,25225.0,24141.0,33925,30981.0,34574,26083.0,30830.0
cz16100,"State College, PA",22603.0,31137,41043.0,31513,26407.0,27657.0,39655.0,35757,40686.0,36091,30148.0,32575.0,15497.0,24304,31832.0,24847,19814.0,21745.0,27268.0,29925,35558.0,30182,24964.0,27371.0
cz38601,"Spokane, ID & WA",22525.0,29172,31507.0,30061,25257.0,22243.0,31521.0,33205,32731.0,33690,29603.0,27027.0,18696.0,23138,30209.0,24064,21383.0,19565.0,25026.0,28104,31292.0,28655,25476.0,23445.0
cz5000,"Tupelo, MS",22522.0,25224,29491.0,27320,23180.0,21401.0,29234.0,31778,32393.0,32175,30943.0,30050.0,19901.0,20348,26579.0,21416,20492.0,20054.0,24508.0,26003,29079.0,26565,25698.0,25256.0
cz13400,"Lima, OH",22511.0,32561,36889.0,33758,28266.0,21261.0,30102.0,37330,37847.0,37932,35834.0,27720.0,17959.0,24068,33371.0,25493,21469.0,18285.0,23951.0,30555,35275.0,31366,28588.0,23189.0
cz35401,"Flagstaff, AZ & UT",22501.0,27793,34355.0,29406,26480.0,22956.0,29538.0,31722,36046.0,32323,30926.0,28678.0,19916.0,22925,32827.0,24424,23564.0,19908.0,24666.0,27269,34201.0,28194,27223.0,24471.0
cz21900,"Marshalltown, IA",22491.0,33320,36285.0,34377,27100.0,22843.0,22404.0,37035,38736.0,37484,34303.0,28425.0,22649.0,25943,29595.0,27331,25336.0,17957.0,22529.0,31364,33463.0,32124,29775.0,23398.0
cz13600,"South Bend, IN & MI",22444.0,29206,37464.0,30994,26088.0,20956.0,27345.0,33557,38216.0,34095,29740.0,29608.0,17963.0,21475,34221.0,22711,23452.0,19315.0,22584.0,27441,35923.0,28145,26579.0,24672.0
cz24100,"Milwaukee, WI",22412.0,32815,34800.0,36126,27962.0,21248.0,27074.0,35702,38076.0,36753,32675.0,29151.0,17707.0,23166,29414.0,26240,24151.0,19743.0,22318.0,29328,33088.0,31215,28382.0,24639.0
cz29303,"Winfield, KS",22388.0,29185,32266.0,30198,26214.0,24400.0,29399.0,33379,32235.0,33934,33003.0,24273.0,18005.0,24441,32018.0,25535,22209.0,23531.0,23625.0,28845,32111.0,29535,27574.0,23916.0
cz36200,"Logan, ID & UT",22378.0,28979,32390.0,29452,25849.0,31025.0,22821.0,31038,36887.0,31250,29374.0,29679.0,21606.0,24447,28233.0,25181,23823.0,32508.0,22203.0,27698,31918.0,28078,26582.0,31039.0
